Product Title,Type,Current Price,Product URL,Original Price,Discount,Estimated Delivery,Category,Rating,Reviews
Equine Rustic Wall Art - Set Of Two,Wood,₹540,https://vaaree.com/products/equine-rustic-wall-art-set-of-two,"₹2,000",73% off,"Mon, 10th Mar",Wall Decor,4.3,8 Reviews
Grateful Charm Wall Plate,Iron,₹808,https://vaaree.com/products/grateful-charm-wall-plate,"₹1,999",60% off,Delivery Tomorrow,Wall Decor,4,6 Reviews
Memories To Rejoice Photo Frames (Brown) - Set Of Ten,Acrylic Wood,"₹1,798",https://vaaree.com/products/memories-to-rejoice-photo-frames-brown-set-of-ten,"₹5,995",70% off,"Mon, 10th Mar",Wall Decor,3,1 Reviews
Sunny Wall Art - Set Of Three,Wood,₹899,https://vaaree.com/products/sunny-wall-art-set-of-three,"₹4,000",78% off,"Mon, 10th Mar",Wall Decor,5,1 Reviews
Jade Tulip Wall Art - Set of Two,Wood,₹980,https://vaaree.com/products/jade-tulip-wall-art-set-of-two,"₹6,000",84% off,"Mon, 10th Mar",Wall Decor,5,1 Reviews
Tree Of Life Wall Hanging,Metal,₹284,https://vaaree.com/products/tree-of-life-wall-hanging,₹899,69% off,"Mon, 10th Mar",Wall Decor,5,1 Reviews
Orange Butterfly Wall Art,Wood,₹980,https://vaaree.com/products/orange-butterfly-wall-art,"₹5,000",81% off,"Mon, 10th Mar",Wall Decor,2,1 Reviews
Vivid Indian Heritage Wall Art - Set Of Seven,Wood,"₹1,340",https://vaaree.com/products/vivid-indian-heritage-wall-art-set-of-seven,"₹7,000",81% off,"Mon, 10th Mar",Wall Decor,4,1 Reviews
Avis Leafy Wall Hook,Metal,₹999,https://vaaree.com/products/avis-leafy-wall-hook,"₹1,499",34% off,"Mon, 10th Mar",Wall Decor,5,4 Reviews
Nauko Wall Accent - Set Of Two,Iron,₹775,https://vaaree.com/products/nauko-wall-accent-set-of-two,"₹1,080",29% off,Delivery Tomorrow,Wall Decor,5,2 Reviews
Umbrella Muse Wall Painting,Canvas,₹902,https://vaaree.com/products/umbrella-muse-wall-painting,"₹5,000",82% off,"Mon, 10th Mar",Wall Decor,5,1 Reviews
Positive Vibes Hanging Bells,Metal,₹375,https://vaaree.com/products/postive-vibes-hanging-bells,₹615,39% off,"Mon, 10th Mar",Wall Decor,5,4 Reviews
Calm Buddha Wall Painting,Canvas,₹902,https://vaaree.com/products/calm-buddha-wall-painting,"₹5,000",82% off,"Mon, 10th Mar",Wall Decor,4.5,2 Reviews
This Is Us Photo Frame - Set Of Five,MDF,₹718,https://vaaree.com/products/this-is-us-photo-frame-set-of-five,"₹1,000",29% off,"Mon, 10th Mar",Wall Decor,4,5 Reviews
Shiva Meditate Wall Painting,Canvas,₹929,https://vaaree.com/products/shiva-meditate-wall-painting,"₹5,000",82% off,"Mon, 10th Mar",Wall Decor,5,4 Reviews
Serene Splatters Wall Art - Set Of Three,Wood,₹980,https://vaaree.com/products/serene-splatters-wall-art-set-of-three,"₹4,000",76% off,Delivery Today,Wall Decor,4.5,8 Reviews
Blue Indian Floral Charm Wall Art - Set of Seven,Wood,"₹1,340",https://vaaree.com/products/blue-indian-floral-charm-wall-art-set-of-seven,"₹7,000",81% off,"Mon, 10th Mar",Wall Decor,3.4,5 Reviews
Tribal Twisto Wall Accent - Set Of Four,MDF,₹179,https://vaaree.com/products/tribal-twisto-wall-accent-set-of-eight,₹349,49% off,"Mon, 10th Mar",Wall Decor,1,1 Reviews
Vintage Red Frames Wall Art - Set Of Eight,MDF,"₹1,232",https://vaaree.com/products/vintage-red-frames-wall-art-set-of-eight,"₹2,354",48% off,"Mon, 10th Mar",Wall Decor,4,1 Reviews
Shyam Art Painting - Set Of Two,Wood,₹540,https://vaaree.com/products/shyam-art-painting-set-of-two,"₹2,000",73% off,"Mon, 10th Mar",Wall Decor,4,2 Reviews
Gold Leaf Tree Wall Accent,Iron,"₹1,055",https://vaaree.com/products/gold-leaf-tree-wall-accent,"₹1,470",29% off,Delivery Tomorrow,Wall Decor,3.7,3 Reviews
Memories Encased Photo Frame (Black) - Set Of Ten,MDF,"₹1,027",https://vaaree.com/products/memories-encased-photo-frame-black-set-of-ten,"₹2,000",49% off,"Mon, 10th Mar",Wall Decor,3,2 Reviews
Root Riva Wall Accent,Iron,"₹1,271",https://vaaree.com/products/root-riva-wall-accent,"₹1,770",29% off,Delivery Tomorrow,Wall Decor,3.8,4 Reviews
Patra Candle Holder Wall Decor,Metal,₹987,https://vaaree.com/products/patra-candle-holder-wall-decor,"₹1,500",35% off,"Mon, 10th Mar",Wall Decor,3,1 Reviews
